CHAIN,day,hour,swappers,volume
Arbitrum,1. Monday,0,4993,122761708
Arbitrum,1. Monday,1,5579,145089332
Arbitrum,1. Monday,2,5814,106391728
Arbitrum,1. Monday,3,6137,60143439
Arbitrum,1. Monday,4,5953,64157509
Arbitrum,1. Monday,5,6444,74094166
Arbitrum,1. Monday,6,7515,70121577
Arbitrum,1. Monday,7,7906,63578867
Arbitrum,1. Monday,8,8558,142259384
Arbitrum,1. Monday,9,8974,169400125
Arbitrum,1. Monday,10,9010,106191413
Arbitrum,1. Monday,11,8502,85095774
Arbitrum,1. Monday,12,8805,77303602
Arbitrum,1. Monday,13,9768,119431477
Arbitrum,1. Monday,14,9828,193364522
Arbitrum,1. Monday,15,10623,160972657
Arbitrum,1. Monday,16,9667,157533534
Arbitrum,1. Monday,17,8727,147476587
Arbitrum,1. Monday,18,8152,113277973
Arbitrum,1. Monday,19,7910,93278098
Arbitrum,1. Monday,20,7892,127851661
Arbitrum,1. Monday,21,7038,103489764
Arbitrum,1. Monday,22,6173,71887673
Arbitrum,1. Monday,23,5486,48025614
Arbitrum,2. Tuesday,0,5588,95492448
Arbitrum,2. Tuesday,1,6107,159444809
Arbitrum,2. Tuesday,2,6594,102079042
Arbitrum,2. Tuesday,3,6620,84259771
Arbitrum,2. Tuesday,4,6364,73619510
Arbitrum,2. Tuesday,5,6956,62319753
Arbitrum,2. Tuesday,6,7418,63928992
Arbitrum,2. Tuesday,7,8384,68227089
Arbitrum,2. Tuesday,8,8790,89449603
Arbitrum,2. Tuesday,9,9271,66683373
Arbitrum,2. Tuesday,10,8707,68549333
Arbitrum,2. Tuesday,11,8678,72056126
Arbitrum,2. Tuesday,12,9272,85334780
Arbitrum,2. Tuesday,13,9873,152482825
Arbitrum,2. Tuesday,14,9746,214588158
Arbitrum,2. Tuesday,15,10360,118266376
Arbitrum,2. Tuesday,16,9255,101044667
Arbitrum,2. Tuesday,17,8525,73789565
Arbitrum,2. Tuesday,18,8070,89901143
Arbitrum,2. Tuesday,19,7405,84972664
Arbitrum,2. Tuesday,20,7094,91144795
Arbitrum,2. Tuesday,21,6800,92642469
Arbitrum,2. Tuesday,22,5993,80972070
Arbitrum,2. Tuesday,23,5551,70211791
Arbitrum,3. Wednesday,0,5344,60427056
Arbitrum,3. Wednesday,1,5965,144908305
Arbitrum,3. Wednesday,2,6439,82834285
Arbitrum,3. Wednesday,3,6728,88752969
Arbitrum,3. Wednesday,4,6528,110453729
Arbitrum,3. Wednesday,5,6938,77751933
