CHAIN,POOL_NAME,SWAP_VOLUME_USD
Arbitrum,WETH-USDC 500 10 UNI-V3 LP,23290610169.64
Arbitrum,WETH-ARB 500 10 UNI-V3 LP,10093929662.66
Arbitrum,ARB-USDC 500 10 UNI-V3 LP,5333501961.79
Arbitrum,WBTC-WETH 500 10 UNI-V3 LP,4581983200.41
Arbitrum,WETH-GMX 3000 60 UNI-V3 LP,1907499663.24
Avalanche,WAVAX-USDC 500 10 UNI-V3 LP,269199278.34
Avalanche,USDt-USDC 100 1 UNI-V3 LP,114448126.04
Avalanche,WETH.e-WAVAX 500 10 UNI-V3 LP,77170790.57
Avalanche,BTC.b-WAVAX 500 10 UNI-V3 LP,66742015.06
Avalanche,WETH.e-USDC 500 10 UNI-V3 LP,45284214.63
Base,WETH-USDbC 500 10 UNI-V3 LP,861671585.54
Base,USDC-USDbC 100 1 UNI-V3 LP,104822118.09
Base,WETH-USDC 500 10 UNI-V3 LP,67529198.11
Base,WETH-USDbC 100 1 UNI-V3 LP,41353391.69
Base,cbETH-WETH 500 10 UNI-V3 LP,34045776.89
BSC,BTCB-WBNB 500 10 UNI-V3 LP,597444983.49
BSC,ETH-WBNB 500 10 UNI-V3 LP,478960457.53
BSC,TWT-WBNB 3000 60 UNI-V3 LP,38405473.19
BSC,ETH-BTCB 3000 60 UNI-V3 LP,35671396.72
BSC,WBNB-BUSD 500 10 UNI-V3 LP,30295764.63
Optimism,WETH-OP 3000 60 UNI-V3 LP,3150573147.44
Optimism,WETH-USDC 500 0 UNI-V3 LP,1440088176.67
Optimism,WETH-DAI 3000 0 UNI-V3 LP,929667108.79
Optimism,WETH-OP 500 10 UNI-V3 LP,771557696.3
Optimism,WETH-SNX 3000 0 UNI-V3 LP,702436672.05
Polygon,USDC-WETH 500 10 UNI-V3 LP,16144600399.95
Polygon,WMATIC-USDC 500 10 UNI-V3 LP,12920627461.76
Polygon,WMATIC-WETH 500 10 UNI-V3 LP,4752697606.52
Polygon,WBTC-WETH 500 10 UNI-V3 LP,3827294226.85
Polygon,WMATIC-WETH 3000 60 UNI-V3 LP,1178693085.52
﻿
