CHAIN,TOKEN,UNIQUE_SWAPPERS
Arbitrum,WETH,1366684
Arbitrum,USDC,1231115
Arbitrum,GETH,1080795
Arbitrum,USDT,770882
Arbitrum,STG,286126
Avalanche,WAVAX,78212
Avalanche,USDC,75926
Avalanche,USDt,33728
Avalanche,WETH.e,13250
Avalanche,BTC.b,10835
BSC,WBNB,740863
BSC,USDT,589760
BSC,USDC,254526
BSC,BUSD,172326
BSC,ETH,146760
Base,USDbC,247435
Base,WETH,240448
Base,USDC,79688
Base,DAI,38600
Base,cbETH,11788
Optimism,USDC,980609
Optimism,WETH,950181
Optimism,DAI,594720
Optimism,USDT,456689
Optimism,OP,386982
Polygon,WMATIC,1535599
Polygon,USDC,1424003
Polygon,USDT,938723
Polygon,WETH,847098
Polygon,DAI,342719
﻿
