CHAIN,TOKEN,VOLUME_USD
Arbitrum,WETH,24307158026.03
Arbitrum,USDC,16375700645.28
Arbitrum,ARB,8722498527.91
Arbitrum,WBTC,2713707395.72
Arbitrum,GMX,1676175307.27
Avalanche,WAVAX,240145614.02
Avalanche,USDC,221190366.69
Avalanche,USDt,81620030.15
Avalanche,WETH.e,62104336.88
Avalanche,BTC.b,37447832.9
BSC,WBNB,609099237.12
BSC,BTCB,323157053.9
BSC,ETH,273587017.02
BSC,TWT,19216758.26
BSC,BUSD,16770301.19
Base,WETH,527526200.09
Base,USDbC,527320958.72
Base,USDC,87741557.49
Base,cbETH,17350572.27
Base,DAI,16793269.58
Optimism,WETH,4614405558.84
Optimism,OP,2158546247.44
Optimism,USDC,1485522821.44
Optimism,DAI,656397355.64
Optimism,SNX,349171922.47
Polygon,USDC,17135093822.88
Polygon,WETH,13734426764.09
Polygon,WMATIC,10469719117.99
Polygon,WBTC,2558156533.4
Polygon,LINK,472247589.85
﻿
