CHAIN,LABEL_SUBTYPE,TXN_COUNT
Arbitrum,bridge,34949150
Arbitrum,general_contract,25903654
Arbitrum,token_contract,22028579
Arbitrum,swap_contract,20553932
Arbitrum,pool,5562073
Avalanche,router,5635036
Avalanche,general_contract,3240632
Avalanche,token_contract,3103101
Avalanche,pool,2224566
Avalanche,bridge,432291
Base,token_contract,6025400
Base,general_contract,913283
Base,swap_contract,307521
Base,bridge,59156
Base,pool,37330
BSC,general_contract,109832661
BSC,pool,39814571
BSC,token_contract,20324539
BSC,swap_router,4715085
BSC,router,3036575
Optimism,general_contract,59032862
Optimism,pool,14030326
Optimism,bridge,12040480
Optimism,swap_contract,6368247
Optimism,token_contract,5974637
Polygon,general_contract,153576615
Polygon,token_contract,54783459
Polygon,swap_contract,49249900
Polygon,bridge,25383504
Polygon,nf_token_contract,16549988
﻿
