CHAIN,PROJECT_NAME,TXN_COUNT
Arbitrum,hop,22334651
Arbitrum,stargate finance,8575036
Arbitrum,gmx,6586277
Arbitrum,sushiswap,6318059
Arbitrum,arbitrum foundation,4929103
Avalanche,trader joe,4703303
Avalanche,crabada,1171673
Avalanche,usdc,821015
Avalanche,stargate finance,657708
Avalanche,1inch,633896
Base,base,1538067
Base,circle,988702
Base,weth,735676
Base,dln,380409
Base,maker,221241
BSC,pancakeswap,60444422
BSC,beefy finance,34787120
BSC,metamask,4383971
BSC,link3,4178459
BSC,drip network,3128257
Optimism,perpetual protocol,13863848
Optimism,beefy finance,10118629
Optimism,layerzero,9458243
Optimism,velodrome,5371723
Optimism,stargate finance,4544577
Polygon,pegaxy,24117706
Polygon,quickswap,23640302
Polygon,planet ix - assets,23414494
Polygon,zed run,19072306
Polygon,hop,17424236
﻿
