CHAIN,WEEK,DEX,UNIQUE_USERS,SWAP_VOLUME
Arbitrum,2022-01-03 00:00:00.000,balancer,701,3592944.27
Arbitrum,2022-01-03 00:00:00.000,curve,383,2719408.37
Arbitrum,2022-01-03 00:00:00.000,gmx,410,12750458.72
Arbitrum,2022-01-03 00:00:00.000,uniswap,3662,49144213.17
Arbitrum,2022-01-03 00:00:00.000,sushiswap,10813,335682838.33
Arbitrum,2022-01-03 00:00:00.000,dodo,465,8279200.02
Avalanche,2022-01-03 00:00:00.000,platypus,370,"null"
Avalanche,2022-01-03 00:00:00.000,trader joe,151664,591998488.44
Avalanche,2022-01-03 00:00:00.000,curve,2404,108194381.82
Avalanche,2022-01-03 00:00:00.000,pangolin,23697,134324665.1
Avalanche,2022-01-03 00:00:00.000,gmx,151,4316625.62
Avalanche,2022-01-03 00:00:00.000,kyberswap,1499,344712.77
Avalanche,2022-01-03 00:00:00.000,sushiswap,7067,302502.23
BSC,2022-01-03 00:00:00.000,biswap,69419,265296430.48
BSC,2022-01-03 00:00:00.000,sushiswap,6682,1762983.47
BSC,2022-01-03 00:00:00.000,pancakeswap,1869894,2349456617.31
BSC,2022-01-03 00:00:00.000,dodo,16376,1947213.62
BSC,2022-01-03 00:00:00.000,kyberswap,1937,1691230.3
BSC,2022-01-03 00:00:00.000,woofi,762,"null"
Optimism,2022-01-03 00:00:00.000,synthetix,639,51928.12
Optimism,2022-01-03 00:00:00.000,uniswap,3950,29649297.39
Polygon,2022-01-03 00:00:00.000,dodo,11947,590.63
Polygon,2022-01-03 00:00:00.000,quickswap,272709,256831078.32
Polygon,2022-01-03 00:00:00.000,sushiswap,52952,187259762.88
Polygon,2022-01-03 00:00:00.000,uniswap,41255,118342775.48
Polygon,2022-01-03 00:00:00.000,balancer,21020,21469117.09
Polygon,2022-01-03 00:00:00.000,kyberswap,15256,860341.37
Polygon,2022-01-03 00:00:00.000,curve,4458,15538564.53
Arbitrum,2022-01-10 00:00:00.000,sushiswap,9471,238637686.54
Arbitrum,2022-01-10 00:00:00.000,uniswap,4164,62251773.22
Arbitrum,2022-01-10 00:00:00.000,gmx,304,8951095.27
Arbitrum,2022-01-10 00:00:00.000,dodo,282,3123985.64
Arbitrum,2022-01-10 00:00:00.000,balancer,581,2066793.74
Arbitrum,2022-01-10 00:00:00.000,curve,284,2473731.94
Avalanche,2022-01-10 00:00:00.000,sushiswap,14776,2146961.13
Avalanche,2022-01-10 00:00:00.000,kyberswap,1557,296819.5
Avalanche,2022-01-10 00:00:00.000,trader joe,135120,567387760.3
Avalanche,2022-01-10 00:00:00.000,platypus,2002,"null"
Avalanche,2022-01-10 00:00:00.000,pangolin,25398,95040119.49
Avalanche,2022-01-10 00:00:00.000,gmx,240,6790391.83
Avalanche,2022-01-10 00:00:00.000,curve,2208,57617993.95
BSC,2022-01-10 00:00:00.000,woofi,1489,"null"
BSC,2022-01-10 00:00:00.000,kyberswap,1852,998574.13
BSC,2022-01-10 00:00:00.000,sushiswap,6166,1686787.11
BSC,2022-01-10 00:00:00.000,biswap,57355,191921697.07
BSC,2022-01-10 00:00:00.000,dodo,15015,1199596.78
BSC,2022-01-10 00:00:00.000,pancakeswap,1750011,2081900726.15
Optimism,2022-01-10 00:00:00.000,synthetix,407,90823.31
Optimism,2022-01-10 00:00:00.000,uniswap,3519,20607494.63
Polygon,2022-01-10 00:00:00.000,quickswap,110055,211848013.07
Polygon,2022-01-10 00:00:00.000,dodo,15703,802.97
Polygon,2022-01-10 00:00:00.000,balancer,27721,19354279.83
Polygon,2022-01-10 00:00:00.000,uniswap,50284,137280000.88
Polygon,2022-01-10 00:00:00.000,curve,5103,18024900.5
Polygon,2022-01-10 00:00:00.000,kyberswap,23194,2308788.28
Polygon,2022-01-10 00:00:00.000,sushiswap,48608,106399364.19
Arbitrum,2022-01-17 00:00:00.000,curve,411,8430230.22
Arbitrum,2022-01-17 00:00:00.000,balancer,855,2822119.31
Arbitrum,2022-01-17 00:00:00.000,uniswap,4328,85898416.46
Arbitrum,2022-01-17 00:00:00.000,sushiswap,9852,354287477.94
Arbitrum,2022-01-17 00:00:00.000,gmx,420,21408726.33
Arbitrum,2022-01-17 00:00:00.000,dodo,274,2101923.93
Avalanche,2022-01-17 00:00:00.000,kyberswap,1801,367552.87
Avalanche,2022-01-17 00:00:00.000,gmx,760,15956815.95
Avalanche,2022-01-17 00:00:00.000,pangolin,23845,111996268.11
Avalanche,2022-01-17 00:00:00.000,platypus,3219,"null"
Avalanche,2022-01-17 00:00:00.000,curve,2681,97610986.1
Avalanche,2022-01-17 00:00:00.000,trader joe,127881,764136111
Avalanche,2022-01-17 00:00:00.000,sushiswap,33406,7166319.61
BSC,2022-01-17 00:00:00.000,dodo,13391,1142943.59
BSC,2022-01-17 00:00:00.000,pancakeswap,1679511,2043322472.96
BSC,2022-01-17 00:00:00.000,kyberswap,2208,1989907.84
BSC,2022-01-17 00:00:00.000,sushiswap,6629,930284.26
BSC,2022-01-17 00:00:00.000,biswap,58788,260974077.02
BSC,2022-01-17 00:00:00.000,woofi,1791,"null"
Optimism,2022-01-17 00:00:00.000,curve,25,"null"
Optimism,2022-01-17 00:00:00.000,uniswap,4248,36512896.47
Optimism,2022-01-17 00:00:00.000,synthetix,307,32067.65
Polygon,2022-01-17 00:00:00.000,quickswap,102679,240597159.54
Polygon,2022-01-17 00:00:00.000,dodo,13845,908.22
Polygon,2022-01-17 00:00:00.000,sushiswap,44653,123931149.56
Polygon,2022-01-17 00:00:00.000,curve,5308,18957918.16
Polygon,2022-01-17 00:00:00.000,uniswap,42431,184650732.41
Polygon,2022-01-17 00:00:00.000,kyberswap,25206,3101248.34
Polygon,2022-01-17 00:00:00.000,balancer,25893,23493590.99
Arbitrum,2022-01-24 00:00:00.000,curve,573,5716922.22
Arbitrum,2022-01-24 00:00:00.000,gmx,451,16811495.79
Arbitrum,2022-01-24 00:00:00.000,balancer,802,1887871.99
Arbitrum,2022-01-24 00:00:00.000,sushiswap,12408,429242774.35
Arbitrum,2022-01-24 00:00:00.000,dodo,200,1349354.15
Arbitrum,2022-01-24 00:00:00.000,uniswap,3922,69594720.72
Avalanche,2022-01-24 00:00:00.000,kyberswap,1416,487902.76
Avalanche,2022-01-24 00:00:00.000,trader joe,119372,820902924.14
Avalanche,2022-01-24 00:00:00.000,gmx,712,18121222.11
Avalanche,2022-01-24 00:00:00.000,curve,3490,98382533.84
Avalanche,2022-01-24 00:00:00.000,pangolin,18504,100058562.69
Avalanche,2022-01-24 00:00:00.000,platypus,2073,6976677.6
Avalanche,2022-01-24 00:00:00.000,sushiswap,36703,11998849.36
BSC,2022-01-24 00:00:00.000,hashflow,12,"null"
BSC,2022-01-24 00:00:00.000,woofi,1525,"null"
BSC,2022-01-24 00:00:00.000,pancakeswap,1408591,1623926194.43
BSC,2022-01-24 00:00:00.000,kyberswap,1716,1469918.79
BSC,2022-01-24 00:00:00.000,dodo,10190,824366.6
BSC,2022-01-24 00:00:00.000,sushiswap,6817,1563873.43
BSC,2022-01-24 00:00:00.000,biswap,58945,279688833.22
Optimism,2022-01-24 00:00:00.000,uniswap,3001,26409263.56
Optimism,2022-01-24 00:00:00.000,curve,80,"null"
Optimism,2022-01-24 00:00:00.000,synthetix,266,20474.14
Polygon,2022-01-24 00:00:00.000,uniswap,52802,222927677.52
Polygon,2022-01-24 00:00:00.000,hashflow,573,"null"
Polygon,2022-01-24 00:00:00.000,curve,6108,12350656.07
Polygon,2022-01-24 00:00:00.000,sushiswap,41255,83451008.76
Polygon,2022-01-24 00:00:00.000,dodo,22076,880.33
Polygon,2022-01-24 00:00:00.000,kyberswap,39079,5325215.84
Polygon,2022-01-24 00:00:00.000,quickswap,99145,200315731.34
Polygon,2022-01-24 00:00:00.000,balancer,35843,15984897.66
Arbitrum,2022-01-31 00:00:00.000,sushiswap,10681,241095286.12
Arbitrum,2022-01-31 00:00:00.000,curve,282,1474893.51
Arbitrum,2022-01-31 00:00:00.000,balancer,1707,2308263.69
Arbitrum,2022-01-31 00:00:00.000,dodo,147,371228.78
Arbitrum,2022-01-31 00:00:00.000,uniswap,3601,49711619.47
Arbitrum,2022-01-31 00:00:00.000,gmx,354,11580415.02
Avalanche,2022-01-31 00:00:00.000,platypus,1406,66899068.06
Avalanche,2022-01-31 00:00:00.000,curve,2911,92549767.16
Avalanche,2022-01-31 00:00:00.000,kyberswap,786,392155.29
Avalanche,2022-01-31 00:00:00.000,sushiswap,13559,5376170.45
Avalanche,2022-01-31 00:00:00.000,pangolin,19042,112261172.04
Avalanche,2022-01-31 00:00:00.000,trader joe,114295,1069609405.83
Avalanche,2022-01-31 00:00:00.000,gmx,737,81318445.67
BSC,2022-01-31 00:00:00.000,kyberswap,1465,1169278.69
BSC,2022-01-31 00:00:00.000,dodo,10892,1087990.42
BSC,2022-01-31 00:00:00.000,woofi,1008,"null"
BSC,2022-01-31 00:00:00.000,pancakeswap,1328266,1360041512.89
BSC,2022-01-31 00:00:00.000,hashflow,558,"null"
BSC,2022-01-31 00:00:00.000,sushiswap,5591,514855.45
BSC,2022-01-31 00:00:00.000,biswap,52005,154888888.25
Optimism,2022-01-31 00:00:00.000,uniswap,3667,19246015.41
Optimism,2022-01-31 00:00:00.000,synthetix,265,1057.21
Optimism,2022-01-31 00:00:00.000,curve,205,"null"
Polygon,2022-01-31 00:00:00.000,kyberswap,43571,7895650.36
Polygon,2022-01-31 00:00:00.000,hashflow,948,"null"
Polygon,2022-01-31 00:00:00.000,sushiswap,44235,49555005.37
Polygon,2022-01-31 00:00:00.000,quickswap,106378,140817315.32
Polygon,2022-01-31 00:00:00.000,curve,4410,10865790.51
Polygon,2022-01-31 00:00:00.000,balancer,34445,9605106.11
Polygon,2022-01-31 00:00:00.000,dodo,20022,831.12
Polygon,2022-01-31 00:00:00.000,uniswap,55188,91517370.92
Arbitrum,2022-02-07 00:00:00.000,sushiswap,10615,207817540.42
Arbitrum,2022-02-07 00:00:00.000,uniswap,4437,56360964.76
Arbitrum,2022-02-07 00:00:00.000,kyberswap,1,"null"
Arbitrum,2022-02-07 00:00:00.000,dodo,162,234523.58
Arbitrum,2022-02-07 00:00:00.000,balancer,1807,23003226.38
Arbitrum,2022-02-07 00:00:00.000,curve,558,3120633.53
Arbitrum,2022-02-07 00:00:00.000,gmx,414,9809335.3
Avalanche,2022-02-07 00:00:00.000,kyberswap,892,577744
Avalanche,2022-02-07 00:00:00.000,trader joe,119977,1170152855.11
Avalanche,2022-02-07 00:00:00.000,gmx,918,66673828.05
Avalanche,2022-02-07 00:00:00.000,pangolin,25414,159230458.2
Avalanche,2022-02-07 00:00:00.000,curve,2707,102316645.19
Avalanche,2022-02-07 00:00:00.000,platypus,1524,73217115.94
Avalanche,2022-02-07 00:00:00.000,sushiswap,13668,9367294.61
Avalanche,2022-02-07 00:00:00.000,woofi,1,"null"
BSC,2022-02-07 00:00:00.000,pancakeswap,1501615,1643407267.77
BSC,2022-02-07 00:00:00.000,sushiswap,5695,395896.37
BSC,2022-02-07 00:00:00.000,kyberswap,844,869885
BSC,2022-02-07 00:00:00.000,dodo,11634,1237370.77
BSC,2022-02-07 00:00:00.000,hashflow,403,"null"
BSC,2022-02-07 00:00:00.000,woofi,1975,"null"
BSC,2022-02-07 00:00:00.000,biswap,53496,178047410.91
Optimism,2022-02-07 00:00:00.000,uniswap,3762,24094830.34
Optimism,2022-02-07 00:00:00.000,synthetix,233,609.21
Optimism,2022-02-07 00:00:00.000,curve,184,"null"
Polygon,2022-02-07 00:00:00.000,uniswap,63345,165555065.2
Polygon,2022-02-07 00:00:00.000,sushiswap,41370,78120709.02
Polygon,2022-02-07 00:00:00.000,quickswap,119217,252886508.15
Polygon,2022-02-07 00:00:00.000,hashflow,7370,10.18
Polygon,2022-02-07 00:00:00.000,curve,4801,13673624.65
Polygon,2022-02-07 00:00:00.000,dodo,24665,1193.61
Polygon,2022-02-07 00:00:00.000,kyberswap,41406,5560619.97
Polygon,2022-02-07 00:00:00.000,balancer,37773,19248277.99
Arbitrum,2022-02-14 00:00:00.000,hashflow,314,"null"
Arbitrum,2022-02-14 00:00:00.000,uniswap,3596,38355945.95
Arbitrum,2022-02-14 00:00:00.000,dodo,148,322573.54
Arbitrum,2022-02-14 00:00:00.000,curve,399,3869754.88
Arbitrum,2022-02-14 00:00:00.000,sushiswap,10276,234793987.26
Arbitrum,2022-02-14 00:00:00.000,gmx,310,10095695.28
Arbitrum,2022-02-14 00:00:00.000,balancer,1424,13385480.09
Avalanche,2022-02-14 00:00:00.000,woofi,2,"null"
Avalanche,2022-02-14 00:00:00.000,trader joe,114789,1003101308.73
Avalanche,2022-02-14 00:00:00.000,platypus,1440,66568504.64
