WEEK,CHAIN,ACTIVE_USERS,CUMU_ACTIVE_USERS,SWAP_COUNT,CUMU_TXN_COUNT,TXN_PER_USER,PREV_WEEK_ACTIVE_USERS,RETENTION_RATE
2021-05-31 00:00:00.000,Arbitrum,2,2,9,9,4.5,"null","null"
2021-07-12 00:00:00.000,Arbitrum,2,4,2,11,1,2,100
2021-08-23 00:00:00.000,Arbitrum,3,7,5,16,1.666667,2,150
2021-08-30 00:00:00.000,Arbitrum,1398,1405,2963,2979,2.119456,3,46600
2021-09-06 00:00:00.000,Arbitrum,16581,17986,33936,36915,2.04668,1398,1186.05
2021-09-13 00:00:00.000,Arbitrum,28747,46733,66425,103340,2.310676,16581,173.37
2021-09-20 00:00:00.000,Arbitrum,16862,63595,51988,155328,3.083146,28747,58.66
2021-09-27 00:00:00.000,Arbitrum,11114,74709,27014,182342,2.430628,16862,65.91
2021-10-04 00:00:00.000,Arbitrum,8795,83504,20529,202871,2.334167,11114,79.13
2021-10-11 00:00:00.000,Arbitrum,9301,92805,24564,227435,2.641006,8795,105.75
2021-10-18 00:00:00.000,Arbitrum,9704,102509,27072,254507,2.789777,9301,104.33
2021-10-25 00:00:00.000,Arbitrum,6020,108529,20587,275094,3.419767,9704,62.04
2021-11-01 00:00:00.000,Arbitrum,3823,112352,13220,288314,3.458017,6020,63.51
2021-11-08 00:00:00.000,Arbitrum,4999,117351,15496,303810,3.09982,3823,130.76
2021-11-08 00:00:00.000,Optimism,4213,4213,7697,7697,1.826964,"null","null"
2021-11-15 00:00:00.000,Arbitrum,7316,124667,23000,326810,3.143794,4999,146.35
2021-11-15 00:00:00.000,Optimism,9782,13995,25135,32832,2.569515,4213,232.19
2021-11-22 00:00:00.000,Arbitrum,7450,132117,27802,354612,3.731812,7316,101.83
2021-11-22 00:00:00.000,Optimism,8248,22243,25117,57949,3.045223,9782,84.32
2021-11-29 00:00:00.000,Arbitrum,5537,137654,22207,376819,4.010656,7450,74.32
2021-11-29 00:00:00.000,Optimism,6334,28577,23188,81137,3.660878,8248,76.79
2021-12-06 00:00:00.000,Arbitrum,6158,143812,26197,403016,4.254141,5537,111.22
2021-12-06 00:00:00.000,Optimism,7058,35635,23960,105097,3.394729,6334,111.43
2021-12-13 00:00:00.000,Arbitrum,5177,148989,19485,422501,3.763763,6158,84.07
2021-12-13 00:00:00.000,Optimism,7824,43459,26506,131603,3.387781,7058,110.85
2021-12-20 00:00:00.000,Arbitrum,4261,153250,15987,438488,3.751936,5177,82.31
2021-12-20 00:00:00.000,Optimism,8346,51805,25818,157421,3.093458,7824,106.67
2021-12-20 00:00:00.000,Polygon,43945,43945,128976,128976,2.934941,"null","null"
2021-12-27 00:00:00.000,Arbitrum,3826,157076,16130,454618,4.215891,4261,89.79
2021-12-27 00:00:00.000,Optimism,9890,61695,31482,188903,3.183215,8346,118.5
2021-12-27 00:00:00.000,Polygon,81279,125224,284581,413557,3.501286,43945,184.96
2022-01-03 00:00:00.000,Arbitrum,3662,160738,24297,478915,6.634899,3826,95.71
2022-01-03 00:00:00.000,Optimism,3950,65645,22447,211350,5.682785,9890,39.94
2022-01-03 00:00:00.000,Polygon,41255,166479,160055,573612,3.879651,81279,50.76
2022-01-10 00:00:00.000,Arbitrum,4164,164902,20293,499208,4.873439,3662,113.71
2022-01-10 00:00:00.000,Optimism,3519,69164,16375,227725,4.653311,3950,89.09
2022-01-10 00:00:00.000,Polygon,50284,216763,227173,800785,4.517799,41255,121.89
2022-01-17 00:00:00.000,Arbitrum,4328,169230,24371,523579,5.631007,4164,103.94
2022-01-17 00:00:00.000,Optimism,4248,73412,77646,305371,18.278249,3519,120.72
2022-01-17 00:00:00.000,Polygon,42431,259194,217895,1018680,5.135278,50284,84.38
2022-01-24 00:00:00.000,Arbitrum,3922,173152,23036,546615,5.873534,4328,90.62
2022-01-24 00:00:00.000,Optimism,3001,76413,87825,393196,29.265245,4248,70.65
2022-01-24 00:00:00.000,Polygon,52802,311996,291748,1310428,5.525321,42431,124.44
2022-01-31 00:00:00.000,Arbitrum,3601,176753,16854,563469,4.680367,3922,91.82
2022-01-31 00:00:00.000,Optimism,3667,80080,66225,459421,18.059722,3001,122.19
2022-01-31 00:00:00.000,Polygon,55188,367184,257195,1567623,4.660343,52802,104.52
2022-02-07 00:00:00.000,Arbitrum,4437,181190,20843,584312,4.697543,3601,123.22
2022-02-07 00:00:00.000,Optimism,3762,83842,73022,532443,19.41042,3667,102.59
2022-02-07 00:00:00.000,Polygon,63345,430529,325017,1892640,5.130902,55188,114.78
2022-02-14 00:00:00.000,Arbitrum,3596,184786,21847,606159,6.075362,4437,81.05
2022-02-14 00:00:00.000,Optimism,3171,87013,71761,604204,22.630401,3762,84.29
2022-02-14 00:00:00.000,Polygon,62609,493138,287215,2179855,4.58744,63345,98.84
2022-02-21 00:00:00.000,Arbitrum,3308,188094,33712,639871,10.191052,3596,91.99
2022-02-21 00:00:00.000,Optimism,2803,89816,155362,759566,55.427042,3171,88.39
2022-02-21 00:00:00.000,Polygon,52753,545891,275556,2455411,5.223513,62609,84.26
2022-02-28 00:00:00.000,Arbitrum,4243,192337,31325,671196,7.382748,3308,128.26
2022-02-28 00:00:00.000,Optimism,2886,92702,138579,898145,48.017672,2803,102.96
