CHAIN,WEEK_START,AVG_TIME_DIFF_SECONDS
Arbitrum,2021-09-06 00:00:00.000,17.02016
Arbitrum,2021-09-13 00:00:00.000,8.613149
Arbitrum,2021-09-20 00:00:00.000,10.860383
Arbitrum,2021-09-27 00:00:00.000,18.381728
Arbitrum,2021-10-04 00:00:00.000,23.385933
Arbitrum,2021-10-11 00:00:00.000,19.669312
Arbitrum,2021-10-18 00:00:00.000,18.148435
Arbitrum,2021-10-25 00:00:00.000,24.432865
Arbitrum,2021-11-01 00:00:00.000,37.921374
Arbitrum,2021-11-08 00:00:00.000,31.512897
Arbitrum,2021-11-15 00:00:00.000,21.046101
Arbitrum,2021-11-22 00:00:00.000,17.912584
Arbitrum,2021-11-29 00:00:00.000,22.223178
Arbitrum,2021-12-06 00:00:00.000,19.306857
Arbitrum,2021-12-13 00:00:00.000,25.413655
Arbitrum,2021-12-20 00:00:00.000,32.4464
Polygon,2021-12-20 00:00:00.000,2.795893
Arbitrum,2021-12-27 00:00:00.000,31.689773
Polygon,2021-12-27 00:00:00.000,1.499229
Arbitrum,2022-01-03 00:00:00.000,21.142692
Polygon,2022-01-03 00:00:00.000,2.627165
Arbitrum,2022-01-10 00:00:00.000,24.707329
Polygon,2022-01-10 00:00:00.000,1.822297
Arbitrum,2022-01-17 00:00:00.000,19.760128
Optimism,2022-01-17 00:00:00.000,6.696146
Polygon,2022-01-17 00:00:00.000,1.809885
Arbitrum,2022-01-24 00:00:00.000,20.561778
Optimism,2022-01-24 00:00:00.000,6.266381
Polygon,2022-01-24 00:00:00.000,1.339849
Arbitrum,2022-01-31 00:00:00.000,27.859045
Optimism,2022-01-31 00:00:00.000,8.134327
Polygon,2022-01-31 00:00:00.000,1.662216
Arbitrum,2022-02-07 00:00:00.000,23.181512
Optimism,2022-02-07 00:00:00.000,7.475695
Polygon,2022-02-07 00:00:00.000,1.307712
Arbitrum,2022-02-14 00:00:00.000,20.887814
Optimism,2022-02-14 00:00:00.000,7.678988
Polygon,2022-02-14 00:00:00.000,1.497827
Arbitrum,2022-02-21 00:00:00.000,13.435347
Optimism,2022-02-21 00:00:00.000,3.702676
Polygon,2022-02-21 00:00:00.000,1.420354
Arbitrum,2022-02-28 00:00:00.000,14.435292
Optimism,2022-02-28 00:00:00.000,4.151058
Polygon,2022-02-28 00:00:00.000,1.545067
Arbitrum,2022-03-07 00:00:00.000,15.531149
Optimism,2022-03-07 00:00:00.000,3.872403
Polygon,2022-03-07 00:00:00.000,1.958679
Arbitrum,2022-03-14 00:00:00.000,16.330534
Optimism,2022-03-14 00:00:00.000,4.269601
Polygon,2022-03-14 00:00:00.000,1.925165
Arbitrum,2022-03-21 00:00:00.000,15.370467
Optimism,2022-03-21 00:00:00.000,3.828078
Polygon,2022-03-21 00:00:00.000,1.871468
Arbitrum,2022-03-28 00:00:00.000,12.423982
Optimism,2022-03-28 00:00:00.000,2.505979
Polygon,2022-03-28 00:00:00.000,1.416656
Arbitrum,2022-04-04 00:00:00.000,16.589707
Optimism,2022-04-04 00:00:00.000,2.71632
Polygon,2022-04-04 00:00:00.000,1.599697
Arbitrum,2022-04-11 00:00:00.000,13.558514
Optimism,2022-04-11 00:00:00.000,3.410157
Polygon,2022-04-11 00:00:00.000,1.623423
Arbitrum,2022-04-18 00:00:00.000,14.232332
Optimism,2022-04-18 00:00:00.000,2.745921
Polygon,2022-04-18 00:00:00.000,1.463663
Arbitrum,2022-04-25 00:00:00.000,8.671991
Optimism,2022-04-25 00:00:00.000,2.593703
Polygon,2022-04-25 00:00:00.000,1.1792
Arbitrum,2022-05-02 00:00:00.000,8.785915
Optimism,2022-05-02 00:00:00.000,2.422419
Polygon,2022-05-02 00:00:00.000,1.079127
Arbitrum,2022-05-09 00:00:00.000,6.074184
Optimism,2022-05-09 00:00:00.000,1.111504
Polygon,2022-05-09 00:00:00.000,0.63484
Arbitrum,2022-05-16 00:00:00.000,8.346946
Optimism,2022-05-16 00:00:00.000,2.777726
Polygon,2022-05-16 00:00:00.000,1.029834
Arbitrum,2022-05-23 00:00:00.000,8.651809
Optimism,2022-05-23 00:00:00.000,2.699965
Polygon,2022-05-23 00:00:00.000,1.164948
Arbitrum,2022-05-30 00:00:00.000,8.031435
Optimism,2022-05-30 00:00:00.000,1.359073
Polygon,2022-05-30 00:00:00.000,1.295267
Arbitrum,2022-06-06 00:00:00.000,7.362574
Optimism,2022-06-06 00:00:00.000,1.20796
Polygon,2022-06-06 00:00:00.000,1.109741
Arbitrum,2022-06-13 00:00:00.000,5.565401
Optimism,2022-06-13 00:00:00.000,0.640953
Polygon,2022-06-13 00:00:00.000,0.701919
Arbitrum,2022-06-20 00:00:00.000,6.917135
Optimism,2022-06-20 00:00:00.000,1.157942
Polygon,2022-06-20 00:00:00.000,0.842028
Arbitrum,2022-06-27 00:00:00.000,9.823506
Optimism,2022-06-27 00:00:00.000,2.004973
Polygon,2022-06-27 00:00:00.000,0.951113
Arbitrum,2022-07-04 00:00:00.000,9.751447
Optimism,2022-07-04 00:00:00.000,2.525096
Polygon,2022-07-04 00:00:00.000,1.143328
Arbitrum,2022-07-11 00:00:00.000,8.702043
Optimism,2022-07-11 00:00:00.000,1.936944
Polygon,2022-07-11 00:00:00.000,0.915015
Arbitrum,2022-07-18 00:00:00.000,6.735564
Optimism,2022-07-18 00:00:00.000,1.174947
Polygon,2022-07-18 00:00:00.000,0.8387
Arbitrum,2022-07-25 00:00:00.000,6.432912
Optimism,2022-07-25 00:00:00.000,0.797094
Polygon,2022-07-25 00:00:00.000,0.927747
Arbitrum,2022-08-01 00:00:00.000,5.57934
Optimism,2022-08-01 00:00:00.000,0.758609
Polygon,2022-08-01 00:00:00.000,1.332038
Arbitrum,2022-08-08 00:00:00.000,6.029509
Optimism,2022-08-08 00:00:00.000,0.961476
Polygon,2022-08-08 00:00:00.000,1.24767
Arbitrum,2022-08-15 00:00:00.000,6.333717
Optimism,2022-08-15 00:00:00.000,0.899303
Polygon,2022-08-15 00:00:00.000,1.001948
Arbitrum,2022-08-22 00:00:00.000,4.139893
Optimism,2022-08-22 00:00:00.000,1.172155
Polygon,2022-08-22 00:00:00.000,1.088263
Arbitrum,2022-08-29 00:00:00.000,2.234259
Optimism,2022-08-29 00:00:00.000,1.247114
Polygon,2022-08-29 00:00:00.000,1.129874
Arbitrum,2022-09-05 00:00:00.000,2.178634
Optimism,2022-09-05 00:00:00.000,1.205448
Polygon,2022-09-05 00:00:00.000,1.065659
Arbitrum,2022-09-12 00:00:00.000,2.358595
Optimism,2022-09-12 00:00:00.000,1.055785
Polygon,2022-09-12 00:00:00.000,0.899354
Arbitrum,2022-09-19 00:00:00.000,1.821065
Optimism,2022-09-19 00:00:00.000,0.822995
Polygon,2022-09-19 00:00:00.000,0.758257
Arbitrum,2022-09-26 00:00:00.000,1.874235
Optimism,2022-09-26 00:00:00.000,1.165537
Polygon,2022-09-26 00:00:00.000,0.872733
Arbitrum,2022-10-03 00:00:00.000,1.911868
Optimism,2022-10-03 00:00:00.000,2.010685
Polygon,2022-10-03 00:00:00.000,1.065027
Arbitrum,2022-10-10 00:00:00.000,2.286591
Optimism,2022-10-10 00:00:00.000,1.736905
Polygon,2022-10-10 00:00:00.000,1.124151
Arbitrum,2022-10-17 00:00:00.000,1.178998
Optimism,2022-10-17 00:00:00.000,1.754734
Polygon,2022-10-17 00:00:00.000,1.213451
Arbitrum,2022-10-24 00:00:00.000,0.973214
Optimism,2022-10-24 00:00:00.000,0.914949
Polygon,2022-10-24 00:00:00.000,0.882783
Arbitrum,2022-10-31 00:00:00.000,1.141007
Optimism,2022-10-31 00:00:00.000,0.853927
Polygon,2022-10-31 00:00:00.000,0.749484
Arbitrum,2022-11-07 00:00:00.000,0.828488
Optimism,2022-11-07 00:00:00.000,0.557795
Polygon,2022-11-07 00:00:00.000,0.414396
Arbitrum,2022-11-14 00:00:00.000,1.49016
Optimism,2022-11-14 00:00:00.000,1.121087
