CHAIN,WEEK,AVG_GAS_FEE
Arbitrum,2021-05-31 00:00:00.000,0.7243706796
Arbitrum,2021-07-12 00:00:00.000,0.5746065648
Arbitrum,2021-08-23 00:00:00.000,2.832460628
Arbitrum,2021-08-30 00:00:00.000,4.784883981
Arbitrum,2021-09-06 00:00:00.000,3.352713142
Arbitrum,2021-09-13 00:00:00.000,2.47178945
Arbitrum,2021-09-20 00:00:00.000,2.625192679
Arbitrum,2021-09-27 00:00:00.000,2.703328322
Arbitrum,2021-10-04 00:00:00.000,3.911483089
Arbitrum,2021-10-11 00:00:00.000,4.20050111
Arbitrum,2021-10-18 00:00:00.000,3.593822686
Arbitrum,2021-10-25 00:00:00.000,5.524774111
Arbitrum,2021-11-01 00:00:00.000,6.624305227
Arbitrum,2021-11-08 00:00:00.000,6.940106706
Optimism,2021-11-08 00:00:00.000,5.840395096
Arbitrum,2021-11-15 00:00:00.000,5.765471109
Optimism,2021-11-15 00:00:00.000,6.028441806
Arbitrum,2021-11-22 00:00:00.000,5.066217337
Optimism,2021-11-22 00:00:00.000,5.585480624
Arbitrum,2021-11-29 00:00:00.000,5.346526691
Optimism,2021-11-29 00:00:00.000,5.745431689
Arbitrum,2021-12-06 00:00:00.000,3.715157997
Optimism,2021-12-06 00:00:00.000,3.526013352
Arbitrum,2021-12-13 00:00:00.000,3.131238927
Optimism,2021-12-13 00:00:00.000,3.180233378
Arbitrum,2021-12-20 00:00:00.000,3.080128346
Optimism,2021-12-20 00:00:00.000,3.552034365
Arbitrum,2021-12-27 00:00:00.000,3.662179262
Optimism,2021-12-27 00:00:00.000,4.892580156
Arbitrum,2022-01-03 00:00:00.000,4.158569418
Optimism,2022-01-03 00:00:00.000,6.370947715
Arbitrum,2022-01-10 00:00:00.000,5.393767749
Optimism,2022-01-10 00:00:00.000,6.544024422
Arbitrum,2022-01-17 00:00:00.000,4.132492161
Optimism,2022-01-17 00:00:00.000,3.398571141
Arbitrum,2022-01-24 00:00:00.000,2.904605042
Optimism,2022-01-24 00:00:00.000,2.715582373
Arbitrum,2022-01-31 00:00:00.000,2.692840859
Optimism,2022-01-31 00:00:00.000,2.70506799
Arbitrum,2022-02-07 00:00:00.000,2.096628895
Optimism,2022-02-07 00:00:00.000,2.157598052
Arbitrum,2022-02-14 00:00:00.000,1.630700189
Optimism,2022-02-14 00:00:00.000,1.786880062
Arbitrum,2022-02-21 00:00:00.000,1.529734535
Optimism,2022-02-21 00:00:00.000,1.487259797
Arbitrum,2022-02-28 00:00:00.000,1.250561443
Optimism,2022-02-28 00:00:00.000,1.148615191
Polygon,2022-02-28 00:00:00.000,0.1114149688
Arbitrum,2022-03-07 00:00:00.000,0.7367582049
Optimism,2022-03-07 00:00:00.000,0.6408487938
Polygon,2022-03-07 00:00:00.000,0.09889485586
Arbitrum,2022-03-14 00:00:00.000,0.861590478
Optimism,2022-03-14 00:00:00.000,0.8995892
Polygon,2022-03-14 00:00:00.000,0.09054419272
Arbitrum,2022-03-21 00:00:00.000,0.9438768941
Optimism,2022-03-21 00:00:00.000,1.002765152
Polygon,2022-03-21 00:00:00.000,0.0810428309
Arbitrum,2022-03-28 00:00:00.000,1.390173137
Optimism,2022-03-28 00:00:00.000,1.445976056
Polygon,2022-03-28 00:00:00.000,0.09976399156
Arbitrum,2022-04-04 00:00:00.000,1.776315145
Optimism,2022-04-04 00:00:00.000,1.286148366
Polygon,2022-04-04 00:00:00.000,0.09073601443
Arbitrum,2022-04-11 00:00:00.000,1.134100668
Optimism,2022-04-11 00:00:00.000,0.8569227713
Polygon,2022-04-11 00:00:00.000,0.08246697897
Arbitrum,2022-04-18 00:00:00.000,1.143082403
Optimism,2022-04-18 00:00:00.000,1.063160579
Polygon,2022-04-18 00:00:00.000,0.08841421784
Arbitrum,2022-04-25 00:00:00.000,1.290144394
Optimism,2022-04-25 00:00:00.000,1.2504466
Polygon,2022-04-25 00:00:00.000,0.09689760936
Arbitrum,2022-05-02 00:00:00.000,1.274804603
Optimism,2022-05-02 00:00:00.000,0.9149984771
Polygon,2022-05-02 00:00:00.000,0.110889284
Arbitrum,2022-05-09 00:00:00.000,1.751936548
Optimism,2022-05-09 00:00:00.000,1.427947723
Polygon,2022-05-09 00:00:00.000,0.2731456506
Arbitrum,2022-05-16 00:00:00.000,0.484887343
Optimism,2022-05-16 00:00:00.000,0.3722197011
Polygon,2022-05-16 00:00:00.000,0.05814933699
Arbitrum,2022-05-23 00:00:00.000,0.5457265132
Optimism,2022-05-23 00:00:00.000,0.4493958228
Polygon,2022-05-23 00:00:00.000,0.06317747144
Arbitrum,2022-05-30 00:00:00.000,0.8870380024
Optimism,2022-05-30 00:00:00.000,1.208351022
Polygon,2022-05-30 00:00:00.000,0.05504219675
Arbitrum,2022-06-06 00:00:00.000,0.8675578213
Optimism,2022-06-06 00:00:00.000,0.5351000781
Polygon,2022-06-06 00:00:00.000,0.08164935451
Arbitrum,2022-06-13 00:00:00.000,0.6224333812
Optimism,2022-06-13 00:00:00.000,0.4011295042
Polygon,2022-06-13 00:00:00.000,0.1468877326
Arbitrum,2022-06-20 00:00:00.000,0.4049894524
Optimism,2022-06-20 00:00:00.000,0.2445420255
Polygon,2022-06-20 00:00:00.000,0.05433155774
Arbitrum,2022-06-27 00:00:00.000,0.6417804809
Optimism,2022-06-27 00:00:00.000,0.2642560622
Polygon,2022-06-27 00:00:00.000,0.06499501703
Arbitrum,2022-07-04 00:00:00.000,0.2371033714
Optimism,2022-07-04 00:00:00.000,0.1821901675
Polygon,2022-07-04 00:00:00.000,0.06528364805
Arbitrum,2022-07-11 00:00:00.000,0.2781134953
Optimism,2022-07-11 00:00:00.000,0.2054072793
Polygon,2022-07-11 00:00:00.000,0.1056696186
Arbitrum,2022-07-18 00:00:00.000,0.2669656061
Optimism,2022-07-18 00:00:00.000,0.1913003823
Polygon,2022-07-18 00:00:00.000,0.1577963013
Arbitrum,2022-07-25 00:00:00.000,0.2182011123
Optimism,2022-07-25 00:00:00.000,0.1602902166
Polygon,2022-07-25 00:00:00.000,0.156127658
Arbitrum,2022-08-01 00:00:00.000,0.1716155929
Optimism,2022-08-01 00:00:00.000,0.1244528008
Polygon,2022-08-01 00:00:00.000,0.1380225267
Arbitrum,2022-08-08 00:00:00.000,0.3433642497
Optimism,2022-08-08 00:00:00.000,0.2079255968
Polygon,2022-08-08 00:00:00.000,0.154968699
Arbitrum,2022-08-15 00:00:00.000,0.2237808001
Optimism,2022-08-15 00:00:00.000,0.1493161202
Polygon,2022-08-15 00:00:00.000,0.127736077
Arbitrum,2022-08-22 00:00:00.000,0.1699148705
Optimism,2022-08-22 00:00:00.000,0.1181004093
Polygon,2022-08-22 00:00:00.000,0.1250544788
Arbitrum,2022-08-29 00:00:00.000,0.1547261822
Optimism,2022-08-29 00:00:00.000,0.1719328353
Polygon,2022-08-29 00:00:00.000,0.1233356126
Arbitrum,2022-09-05 00:00:00.000,0.1182055852
Optimism,2022-09-05 00:00:00.000,0.1798952174
Polygon,2022-09-05 00:00:00.000,0.1102900189
Arbitrum,2022-09-12 00:00:00.000,0.1114772574
Optimism,2022-09-12 00:00:00.000,0.1509562802
Polygon,2022-09-12 00:00:00.000,0.1347910785
Arbitrum,2022-09-19 00:00:00.000,0.07909106472
Optimism,2022-09-19 00:00:00.000,0.09054990302
Polygon,2022-09-19 00:00:00.000,0.07967820066
Arbitrum,2022-09-26 00:00:00.000,0.09310667178
Optimism,2022-09-26 00:00:00.000,0.1189060691
Polygon,2022-09-26 00:00:00.000,0.04649945066
Arbitrum,2022-10-03 00:00:00.000,0.1064261833
Optimism,2022-10-03 00:00:00.000,0.1460863056
Polygon,2022-10-03 00:00:00.000,0.04052646159
Arbitrum,2022-10-10 00:00:00.000,0.1402837264
Optimism,2022-10-10 00:00:00.000,0.228733104
Polygon,2022-10-10 00:00:00.000,0.08267752622
Arbitrum,2022-10-17 00:00:00.000,0.1504009069
Optimism,2022-10-17 00:00:00.000,0.23254083
Polygon,2022-10-17 00:00:00.000,0.123624991
Arbitrum,2022-10-24 00:00:00.000,0.1265725085
Optimism,2022-10-24 00:00:00.000,0.175095373
Polygon,2022-10-24 00:00:00.000,0.1395169201
Arbitrum,2022-10-31 00:00:00.000,0.1353289496
Optimism,2022-10-31 00:00:00.000,0.1717193522
Polygon,2022-10-31 00:00:00.000,0.1863194903
Arbitrum,2022-11-07 00:00:00.000,0.1541658679
Optimism,2022-11-07 00:00:00.000,0.3786470183
Polygon,2022-11-07 00:00:00.000,0.2635613871
Arbitrum,2022-11-14 00:00:00.000,0.1012455453
Optimism,2022-11-14 00:00:00.000,0.1254972893
Polygon,2022-11-14 00:00:00.000,0.09050696571
Arbitrum,2022-11-21 00:00:00.000,0.08588056881
Optimism,2022-11-21 00:00:00.000,0.1000876889
Polygon,2022-11-21 00:00:00.000,0.08539210972
Arbitrum,2022-11-28 00:00:00.000,0.08885190116
Optimism,2022-11-28 00:00:00.000,0.1123231789
Polygon,2022-11-28 00:00:00.000,0.07332207775
Arbitrum,2022-12-05 00:00:00.000,0.1054130445
Optimism,2022-12-05 00:00:00.000,0.1441170437
Polygon,2022-12-05 00:00:00.000,0.05880640716
Arbitrum,2022-12-12 00:00:00.000,0.1288306126
Optimism,2022-12-12 00:00:00.000,0.1441298589
Polygon,2022-12-12 00:00:00.000,0.09646246467
Arbitrum,2022-12-19 00:00:00.000,0.1127653472
Optimism,2022-12-19 00:00:00.000,0.1153215564
Polygon,2022-12-19 00:00:00.000,0.07292669633
Arbitrum,2022-12-26 00:00:00.000,0.1145356252
Optimism,2022-12-26 00:00:00.000,0.1206668512
Polygon,2022-12-26 00:00:00.000,0.0470159451
Arbitrum,2023-01-02 00:00:00.000,0.1481103716
Optimism,2023-01-02 00:00:00.000,0.1524890897
Polygon,2023-01-02 00:00:00.000,0.05429880671
Arbitrum,2023-01-09 00:00:00.000,0.1817648361
Optimism,2023-01-09 00:00:00.000,0.2111608528
Polygon,2023-01-09 00:00:00.000,0.1179422988
Arbitrum,2023-01-16 00:00:00.000,0.2148082134
Optimism,2023-01-16 00:00:00.000,0.2226658489
Polygon,2023-01-16 00:00:00.000,0.1162805914
Arbitrum,2023-01-23 00:00:00.000,0.2084649931
Optimism,2023-01-23 00:00:00.000,0.1979188301
Polygon,2023-01-23 00:00:00.000,0.1331797702
Arbitrum,2023-01-30 00:00:00.000,0.2301905086
Optimism,2023-01-30 00:00:00.000,0.2665593148
Polygon,2023-01-30 00:00:00.000,0.164811998
Arbitrum,2023-02-06 00:00:00.000,0.2452438708
Optimism,2023-02-06 00:00:00.000,0.3333765141
Polygon,2023-02-06 00:00:00.000,0.2196481992
Arbitrum,2023-02-13 00:00:00.000,0.256804509
Optimism,2023-02-13 00:00:00.000,0.3955800379
Polygon,2023-02-13 00:00:00.000,0.2806772585
Arbitrum,2023-02-20 00:00:00.000,0.2409652415
Optimism,2023-02-20 00:00:00.000,0.3722909066
Polygon,2023-02-20 00:00:00.000,0.18091447
Arbitrum,2023-02-27 00:00:00.000,0.2245129547
Optimism,2023-02-27 00:00:00.000,0.3435307716
Polygon,2023-02-27 00:00:00.000,0.1538940198
Arbitrum,2023-03-06 00:00:00.000,0.349252565
BSC,2023-03-06 00:00:00.000,0.5339595173
Optimism,2023-03-06 00:00:00.000,0.5815142148
Polygon,2023-03-06 00:00:00.000,0.2176413333
Arbitrum,2023-03-13 00:00:00.000,0.2638160924
BSC,2023-03-13 00:00:00.000,0.3798518476
Optimism,2023-03-13 00:00:00.000,0.3720647298
Polygon,2023-03-13 00:00:00.000,0.1929400733
Arbitrum,2023-03-20 00:00:00.000,0.5457436919
BSC,2023-03-20 00:00:00.000,0.4739140807
Optimism,2023-03-20 00:00:00.000,0.2988794566
Polygon,2023-03-20 00:00:00.000,0.1705315043
Arbitrum,2023-03-27 00:00:00.000,0.2725754394
