CHAIN,WEEK_START,NEW_TOKENS_COUNT
Arbitrum,2021-05-31 00:00:00.000,6
Arbitrum,2021-06-14 00:00:00.000,1
Arbitrum,2021-06-21 00:00:00.000,1
Arbitrum,2021-06-28 00:00:00.000,1
Arbitrum,2021-08-02 00:00:00.000,1
Arbitrum,2021-08-23 00:00:00.000,2
Arbitrum,2021-08-30 00:00:00.000,26
Arbitrum,2021-09-06 00:00:00.000,21
Arbitrum,2021-09-13 00:00:00.000,11
Arbitrum,2021-09-20 00:00:00.000,9
Arbitrum,2021-09-27 00:00:00.000,4
Arbitrum,2021-10-04 00:00:00.000,6
Arbitrum,2021-10-11 00:00:00.000,8
Arbitrum,2021-10-18 00:00:00.000,6
Arbitrum,2021-10-25 00:00:00.000,6
Arbitrum,2021-11-01 00:00:00.000,9
Arbitrum,2021-11-08 00:00:00.000,4
Arbitrum,2021-11-15 00:00:00.000,10
Arbitrum,2021-11-29 00:00:00.000,2
Arbitrum,2021-12-06 00:00:00.000,6
Arbitrum,2021-12-13 00:00:00.000,4
Arbitrum,2021-12-20 00:00:00.000,3
Arbitrum,2021-12-27 00:00:00.000,2
Arbitrum,2022-01-03 00:00:00.000,4
Arbitrum,2022-01-10 00:00:00.000,1
Arbitrum,2022-01-17 00:00:00.000,1
Arbitrum,2022-01-24 00:00:00.000,3
Arbitrum,2022-01-31 00:00:00.000,5
Arbitrum,2022-02-07 00:00:00.000,6
Arbitrum,2022-02-14 00:00:00.000,2
Arbitrum,2022-02-21 00:00:00.000,2
Arbitrum,2022-02-28 00:00:00.000,6
Arbitrum,2022-03-07 00:00:00.000,5
Arbitrum,2022-03-14 00:00:00.000,5
Arbitrum,2022-03-21 00:00:00.000,7
Arbitrum,2022-03-28 00:00:00.000,10
Arbitrum,2022-04-04 00:00:00.000,1
Arbitrum,2022-04-11 00:00:00.000,3
Arbitrum,2022-04-18 00:00:00.000,2
Arbitrum,2022-04-25 00:00:00.000,4
Arbitrum,2022-05-09 00:00:00.000,2
