WEEK,CHAIN,NEW_USERS,CUMU_NEW_USERS
2021-05-31 00:00:00.000,Arbitrum,2,2
2021-08-23 00:00:00.000,Arbitrum,3,5
2021-08-30 00:00:00.000,Arbitrum,1395,1400
2021-09-06 00:00:00.000,Arbitrum,16428,17828
2021-09-13 00:00:00.000,Arbitrum,26835,44663
2021-09-20 00:00:00.000,Arbitrum,14307,58970
2021-09-27 00:00:00.000,Arbitrum,8947,67917
2021-10-04 00:00:00.000,Arbitrum,6820,74737
2021-10-11 00:00:00.000,Arbitrum,7276,82013
2021-10-18 00:00:00.000,Arbitrum,7598,89611
2021-10-25 00:00:00.000,Arbitrum,4348,93959
2021-11-01 00:00:00.000,Arbitrum,2427,96386
2021-11-08 00:00:00.000,Arbitrum,3408,99794
2021-11-08 00:00:00.000,Optimism,4213,4213
2021-11-15 00:00:00.000,Arbitrum,5213,105007
2021-11-15 00:00:00.000,Optimism,9270,13483
2021-11-22 00:00:00.000,Arbitrum,5182,110189
2021-11-22 00:00:00.000,Optimism,7093,20576
2021-11-29 00:00:00.000,Arbitrum,3362,113551
2021-11-29 00:00:00.000,Optimism,4855,25431
2021-12-06 00:00:00.000,Arbitrum,3917,117468
2021-12-06 00:00:00.000,Optimism,5197,30628
2021-12-13 00:00:00.000,Arbitrum,3259,120727
2021-12-13 00:00:00.000,Optimism,5417,36045
2021-12-20 00:00:00.000,Arbitrum,2393,123120
2021-12-20 00:00:00.000,Optimism,5841,41886
2021-12-20 00:00:00.000,Polygon,43945,43945
2021-12-27 00:00:00.000,Arbitrum,1981,125101
2021-12-27 00:00:00.000,Optimism,7298,49184
2021-12-27 00:00:00.000,Polygon,64162,108107
2022-01-03 00:00:00.000,Arbitrum,1639,126740
2022-01-03 00:00:00.000,Optimism,1802,50986
2022-01-03 00:00:00.000,Polygon,25712,133819
2022-01-10 00:00:00.000,Arbitrum,1972,128712
2022-01-10 00:00:00.000,Optimism,1506,52492
2022-01-10 00:00:00.000,Polygon,28346,162165
2022-01-17 00:00:00.000,Arbitrum,1992,130704
2022-01-17 00:00:00.000,Optimism,2245,54737
2022-01-17 00:00:00.000,Polygon,20760,182925
2022-01-24 00:00:00.000,Arbitrum,1810,132514
2022-01-24 00:00:00.000,Optimism,1318,56055
2022-01-24 00:00:00.000,Polygon,27277,210202
2022-01-31 00:00:00.000,Arbitrum,1646,134160
2022-01-31 00:00:00.000,Optimism,1668,57723
2022-01-31 00:00:00.000,Polygon,26364,236566
2022-02-07 00:00:00.000,Arbitrum,1922,136082
2022-02-07 00:00:00.000,Optimism,1666,59389
2022-02-07 00:00:00.000,Polygon,30325,266891
2022-02-14 00:00:00.000,Arbitrum,1586,137668
2022-02-14 00:00:00.000,Optimism,1435,60824
2022-02-14 00:00:00.000,Polygon,27714,294605
