WEEK,CHAIN,UNIQUE_USERS,ACTIVE_POOLS,TOTAL_VOLUME,AVG_VOLUME,MEDIAN_VOLUME,CUMU_VOLUME
2021-05-31 00:00:00.000,Arbitrum,2,2,"null","null","null","null"
2021-07-12 00:00:00.000,Arbitrum,2,1,"null","null","null","null"
2021-08-23 00:00:00.000,Arbitrum,3,2,"null","null","null","null"
2021-08-30 00:00:00.000,Arbitrum,1398,33,296694.46,577.226575875,16.24,296694.46
2021-09-06 00:00:00.000,Arbitrum,16581,50,5850907.28,968.05216413,34.885,6147601.74
2021-09-13 00:00:00.000,Arbitrum,28747,69,75889547.84,4141.312296862,172.27,82037149.58
2021-09-20 00:00:00.000,Arbitrum,16862,69,44258463.23,4145.603524728,143.93,126295612.81
2021-09-27 00:00:00.000,Arbitrum,11114,72,30818973.49,3218.019577112,103.94,157114586.3
2021-10-04 00:00:00.000,Arbitrum,8795,73,42619638.4,5524.972569354,302.71,199734224.7
2021-10-11 00:00:00.000,Arbitrum,9301,84,37110747.36,5552.176445242,380.905,236844972.06
2021-10-18 00:00:00.000,Arbitrum,9704,81,36453648.15,6139.044821489,534.82,273298620.21
2021-10-25 00:00:00.000,Arbitrum,6020,84,37339868.67,8057.805064739,1083.075,310638488.88
2021-11-01 00:00:00.000,Arbitrum,3823,79,35914195.77,10856.770184401,1295.425,346552684.65
2021-11-08 00:00:00.000,Arbitrum,4999,79,43243182.01,9996.112346278,785.13,389795866.66
2021-11-08 00:00:00.000,Optimism,4213,57,8853217.02,1862.266937316,100.275,8853217.02
2021-11-15 00:00:00.000,Arbitrum,7316,92,43989795.85,6361.503376717,448.99,433785662.51
2021-11-15 00:00:00.000,Optimism,9782,70,35117484.95,2457.314740046,220.26,43970701.97
2021-11-22 00:00:00.000,Arbitrum,7450,94,37101135.02,5329.091499569,397.84,470886797.53
2021-11-22 00:00:00.000,Optimism,8248,78,34978420.55,2618.733289661,391.67,78949122.52
2021-11-29 00:00:00.000,Arbitrum,5537,89,29715284.62,5504.869325676,438.34,500602082.15
2021-11-29 00:00:00.000,Optimism,6334,81,35935388.56,3258.558991658,564.79,114884511.08
2021-12-06 00:00:00.000,Arbitrum,6158,91,24435864.68,4813.051936183,279.99,525037946.83
2021-12-06 00:00:00.000,Optimism,7058,84,31770649.76,3041.708928674,371.3,146655160.84
2021-12-13 00:00:00.000,Arbitrum,5177,89,18708164.17,4232.616328054,407.13,543746111
2021-12-13 00:00:00.000,Optimism,7824,88,34067277.06,3443.922064294,399.88,180722437.9
2021-12-20 00:00:00.000,Arbitrum,4261,92,15322609.69,4504.000496767,448.385,559068720.69
2021-12-20 00:00:00.000,Optimism,8346,94,27509923.88,2863.827178847,222.215,208232361.78
2021-12-20 00:00:00.000,Polygon,43945,280,43635656.53,661.076196919,102.3,43635656.53
2021-12-27 00:00:00.000,Arbitrum,3826,96,21099662.57,5359.32501143,682.49,580168383.26
2021-12-27 00:00:00.000,Optimism,9890,88,18086474.41,2001.380370698,150.27,226318836.19
2021-12-27 00:00:00.000,Polygon,81279,392,122652433.01,1032.636500724,121.09,166288089.54
2022-01-03 00:00:00.000,Arbitrum,3662,92,49144213.17,8869.195663238,1539.81,629312596.43
2022-01-03 00:00:00.000,Optimism,3950,96,29649297.39,3744.070891527,454.57,255968133.58
2022-01-03 00:00:00.000,Polygon,41255,395,118342775.48,1816.243216182,296.09,284630865.02
2022-01-10 00:00:00.000,Arbitrum,4164,79,62251773.22,9997.072943633,1803.8,691564369.65
2022-01-10 00:00:00.000,Optimism,3519,85,20607494.63,2797.270887743,305.03,276575628.21
2022-01-10 00:00:00.000,Polygon,50284,489,137280000.88,1255.487277583,199.575,421910865.9
2022-01-17 00:00:00.000,Arbitrum,4328,80,85898416.46,11278.678631828,2758.325,777462786.11
2022-01-17 00:00:00.000,Optimism,4248,87,36512896.47,3382.076368099,1003.505,313088524.68
2022-01-17 00:00:00.000,Polygon,42431,431,184650732.41,1677.225004405,414.3,606561598.31
2022-01-24 00:00:00.000,Arbitrum,3922,92,69594720.72,10288.988870491,1962.61,847057506.83
2022-01-24 00:00:00.000,Optimism,3001,93,26409263.56,3180.689336384,1132.87,339497788.24
2022-01-24 00:00:00.000,Polygon,52802,472,222927677.52,1494.944893878,373.92,829489275.83
2022-01-31 00:00:00.000,Arbitrum,3601,88,49711619.47,8578.364015531,1358.67,896769126.3
2022-01-31 00:00:00.000,Optimism,3667,101,19246015.41,2214.986236621,752.5,358743803.65
2022-01-31 00:00:00.000,Polygon,55188,491,91517370.92,809.587329665,120.725,921006646.75
2022-02-07 00:00:00.000,Arbitrum,4437,92,56360964.76,7396.452068241,1435.27,953130091.06
2022-02-07 00:00:00.000,Optimism,3762,103,24094830.34,2952.797835784,617.78,382838633.99
2022-02-07 00:00:00.000,Polygon,63345,502,165555065.2,1162.907955016,147.79,1086561711.95
2022-02-14 00:00:00.000,Arbitrum,3596,95,38355945.95,4895.462150606,1716.59,991486037.01
2022-02-14 00:00:00.000,Optimism,3171,101,17466318.14,2454.168630041,857.54,400304952.13
2022-02-14 00:00:00.000,Polygon,62609,523,131217635.23,1041.095822133,106.14,1217779347.18
2022-02-21 00:00:00.000,Arbitrum,3308,91,48378125.01,4574.763594326,2603.79,1039864162.02
2022-02-21 00:00:00.000,Optimism,2803,99,27688013.47,2973.049873295,1599.57,427992965.6
2022-02-21 00:00:00.000,Polygon,52753,494,148939879.33,1253.671029604,163.05,1366719226.51
2022-02-28 00:00:00.000,Arbitrum,4243,101,37970260.97,4383.5443281,2606.34,1077834422.99
2022-02-28 00:00:00.000,Optimism,2886,108,22119170.75,2891.394869281,1196.515,450112136.35
2022-02-28 00:00:00.000,Polygon,52936,500,133554958.54,1150.978649212,140.325,1500274185.05
2022-03-07 00:00:00.000,Arbitrum,3975,93,19844859.49,2946.089591746,1083.255,1097679282.48
2022-03-07 00:00:00.000,Optimism,3642,107,14936024.67,1963.45795583,696.07,465048161.02
2022-03-07 00:00:00.000,Polygon,41410,503,105247470.87,1124.811325011,145.44,1605521655.92
2022-03-14 00:00:00.000,Arbitrum,3755,105,26908061.37,4063.434214739,1472.24,1124587343.85
2022-03-14 00:00:00.000,Optimism,3447,107,15664361.41,2015.486542717,608.865,480712522.43
2022-03-14 00:00:00.000,Polygon,47745,560,280730289.02,1373.355228754,271.205,1886251944.94
2022-03-21 00:00:00.000,Arbitrum,5803,114,25764355.48,3833.981470238,968.48,1150351699.33
2022-03-21 00:00:00.000,Optimism,5074,116,15890069.27,1978.591616237,617.91,496602591.7
2022-03-21 00:00:00.000,Polygon,54703,534,382946440.72,1435.223898958,273.735,2269198385.66
