DATE,ARBITRUM_CHANGE,AVALANCHE_CHANGE,BASE_CHANGE,BSC_CHANGE,OPTIMISM_CHANGE,POLYGON_CHANGE
2024-01-18 00:00:00.000,🟢 4.19%,🟢 3.23%,🔴 -12.60%,🟢 8.51%,🔴 -2.74%,🟢 7.24%
2024-01-17 00:00:00.000,🟢 5.09%,🔴 -11.43%,🟢 5.01%,🔴 -0.29%,🟢 7.64%,🟢 2.81%
2024-01-16 00:00:00.000,🔴 -0.01%,🟢 21.92%,🔴 -7.04%,🔴 -1.47%,🔴 -3.69%,🔴 -4.22%
2024-01-15 00:00:00.000,🟢 10.02%,🟢 2.30%,🟢 18.06%,🟢 6.88%,🟢 4.62%,🟢 18.62%
2024-01-14 00:00:00.000,🔴 -7.59%,🔴 -5.14%,🔴 -21.76%,🔴 -6.24%,🔴 -14.48%,🔴 -9.02%
2024-01-13 00:00:00.000,🔴 -11.98%,🔴 -10.52%,🔴 -0.12%,🔴 -12.93%,🔴 -9.56%,🔴 -15.14%
2024-01-12 00:00:00.000,🔴 -18.12%,🔴 -16.16%,🟢 6.78%,🔴 -13.78%,🟢 0.66%,🔴 -3.19%
2024-01-11 00:00:00.000,🟢 10.38%,🟢 6.83%,🔴 -7.00%,🟢 11.39%,🔴 -3.68%,🟢 7.97%
2024-01-10 00:00:00.000,🟢 2.16%,🟢 3.02%,🟢 2.26%,🟢 4.51%,🟢 11.10%,🟢 1.33%
2024-01-09 00:00:00.000,🟢 2.57%,🔴 -13.00%,🔴 -18.63%,🟢 3.77%,🟢 8.02%,🔴 -3.75%
﻿
