CHAIN,CATEGORY,USER_COUNT,TXN_COUNT,TXN_PER_USER,AVG_SWAP_SIZE,MEDIAN_SWAP_SIZE
BSC,Retail User,1456692,11315307,7.76781,1038.947416187,38.76
Optimism,Retail User,1689315,36168101,21.409921,637.830173903,32.54
Polygon,Retail User,2867640,60875043,21.228272,914.241388997,111.24
BSC,Whale,1,2,2,118830.2,118830.2
Optimism,Whale,72,447,6.208333,120106.457937132,46382.75
Arbitrum,Retail User,2821997,57324297,20.31338,2382.140095935,563.75
Polygon,Whale,109,350,3.211009,161838.956648199,101217.7
Avalanche,Retail User,152996,1482500,9.689796,869.735715941,426.86
Base,Retail User,367243,6574513,17.902351,878.116566576,66.25
Avalanche,Whale,2,4,2,200980.26,117912.27
Base,Whale,6,14,2.333333,116471.586428571,93834.02
Arbitrum,Whale,530,7737,14.598113,132869.680815351,66834.21
﻿
