CHAIN,CATEGORY,TXN_COUNT
Arbitrum,10 - 100,3207716
Arbitrum,100 - 1k,5052371
Arbitrum,10k - 100k,1302968
Arbitrum,1k - 10k,7136796
Arbitrum,less than 10,4597192
Arbitrum,more than 100k,13065
Avalanche,10 - 100,153093
Avalanche,100 - 1k,449967
Avalanche,10k - 100k,3647
Avalanche,1k - 10k,148932
Avalanche,less than 10,102836
Avalanche,more than 100k,27
BSC,10 - 100,469990
BSC,100 - 1k,390755
BSC,10k - 100k,8236
BSC,1k - 10k,357395
BSC,less than 10,458732
BSC,more than 100k,61
Base,10 - 100,332995
Base,100 - 1k,364605
Base,10k - 100k,6995
Base,1k - 10k,319393
Base,less than 10,520442
Base,more than 100k,71
Optimism,10 - 100,2347578
Optimism,100 - 1k,2049864
Optimism,10k - 100k,135421
Optimism,1k - 10k,1874928
Optimism,less than 10,2420882
Optimism,more than 100k,1553
Polygon,10 - 100,9109341
Polygon,100 - 1k,11250522
Polygon,10k - 100k,628499
Polygon,1k - 10k,8686381
Polygon,less than 10,7808049
Polygon,more than 100k,2959
﻿
